cell_id,row,col,centroid_x,centroid_y,geometry
1535,36,29,412727.3738420745,3384481.7927185036,"POLYGON ((412977.3738420745 3384231.7927185036, 412977.3738420745 3384731.7927185036, 412477.3738420745 3384731.7927185036, 412477.3738420745 3384231.7927185036, 412977.3738420745 3384231.7927185036))"
1536,37,29,412727.3738420745,3384981.7927185036,"POLYGON ((412977.3738420745 3384731.7927185036, 412977.3738420745 3385231.7927185036, 412477.3738420745 3385231.7927185036, 412477.3738420745 3384731.7927185036, 412977.3738420745 3384731.7927185036))"
1537,38,29,412727.3738420745,3385481.7927185036,"POLYGON ((412977.3738420745 3385231.7927185036, 412977.3738420745 3385731.7927185036, 412477.3738420745 3385731.7927185036, 412477.3738420745 3385231.7927185036, 412977.3738420745 3385231.7927185036))"
1538,39,29,412727.3738420745,3385981.7927185036,"POLYGON ((412977.3738420745 3385731.7927185036, 412977.3738420745 3386231.7927185036, 412477.3738420745 3386231.7927185036, 412477.3738420745 3385731.7927185036, 412977.3738420745 3385731.7927185036))"
1539,40,29,412727.3738420745,3386481.7927185036,"POLYGON ((412977.3738420745 3386231.7927185036, 412977.3738420745 3386731.7927185036, 412477.3738420745 3386731.7927185036, 412477.3738420745 3386231.7927185036, 412977.3738420745 3386231.7927185036))"
1540,41,29,412727.3738420745,3386981.7927185036,"POLYGON ((412977.3738420745 3386731.7927185036, 412977.3738420745 3387231.7927185036, 412477.3738420745 3387231.7927185036, 412477.3738420745 3386731.7927185036, 412977.3738420745 3386731.7927185036))"
1541,42,29,412727.3738420745,3387481.7927185036,"POLYGON ((412977.3738420745 3387231.7927185036, 412977.3738420745 3387731.7927185036, 412477.3738420745 3387731.7927185036, 412477.3738420745 3387231.7927185036, 412977.3738420745 3387231.7927185036))"
1542,43,29,412727.3738420745,3387981.7927185036,"POLYGON ((412977.3738420745 3387731.7927185036, 412977.3738420745 3388231.7927185036, 412477.3738420745 3388231.7927185036, 412477.3738420745 3387731.7927185036, 412977.3738420745 3387731.7927185036))"
1543,44,29,412727.3738420745,3388481.7927185036,"POLYGON ((412977.3738420745 3388231.7927185036, 412977.3738420745 3388731.7927185036, 412477.3738420745 3388731.7927185036, 412477.3738420745 3388231.7927185036, 412977.3738420745 3388231.7927185036))"
1544,45,29,412727.3738420745,3388981.7927185036,"POLYGON ((412977.3738420745 3388731.7927185036, 412977.3738420745 3389231.7927185036, 412477.3738420745 3389231.7927185036, 412477.3738420745 3388731.7927185036, 412977.3738420745 3388731.7927185036))"
1545,46,29,412727.3738420745,3389481.7927185036,"POLYGON ((412977.3738420745 3389231.7927185036, 412977.3738420745 3389731.7927185036, 412477.3738420745 3389731.7927185036, 412477.3738420745 3389231.7927185036, 412977.3738420745 3389231.7927185036))"
1546,47,29,412727.3738420745,3389981.7927185036,"POLYGON ((412977.3738420745 3389731.7927185036, 412977.3738420745 3390231.7927185036, 412477.3738420745 3390231.7927185036, 412477.3738420745 3389731.7927185036, 412977.3738420745 3389731.7927185036))"
1547,48,29,412727.3738420745,3390481.7927185036,"POLYGON ((412977.3738420745 3390231.7927185036, 412977.3738420745 3390731.7927185036, 412477.3738420745 3390731.7927185036, 412477.3738420745 3390231.7927185036, 412977.3738420745 3390231.7927185036))"
1548,49,29,412727.3738420745,3390981.7927185036,"POLYGON ((412977.3738420745 3390731.7927185036, 412977.3738420745 3391231.7927185036, 412477.3738420745 3391231.7927185036, 412477.3738420745 3390731.7927185036, 412977.3738420745 3390731.7927185036))"
1549,50,29,412727.3738420745,3391481.7927185036,"POLYGON ((412977.3738420745 3391231.7927185036, 412977.3738420745 3391731.7927185036, 412477.3738420745 3391731.7927185036, 412477.3738420745 3391231.7927185036, 412977.3738420745 3391231.7927185036))"
1550,51,29,412727.3738420745,3391981.7927185036,"POLYGON ((412977.3738420745 3391731.7927185036, 412977.3738420745 3392231.7927185036, 412477.3738420745 3392231.7927185036, 412477.3738420745 3391731.7927185036, 412977.3738420745 3391731.7927185036))"
1551,52,29,412727.3738420745,3392481.7927185036,"POLYGON ((412977.3738420745 3392231.7927185036, 412977.3738420745 3392731.7927185036, 412477.3738420745 3392731.7927185036, 412477.3738420745 3392231.7927185036, 412977.3738420745 3392231.7927185036))"
1552,53,29,412727.3738420745,3392981.7927185036,"POLYGON ((412977.3738420745 3392731.7927185036, 412977.3738420745 3393231.7927185036, 412477.3738420745 3393231.7927185036, 412477.3738420745 3392731.7927185036, 412977.3738420745 3392731.7927185036))"
1553,54,29,412727.3738420745,3393481.7927185036,"POLYGON ((412977.3738420745 3393231.7927185036, 412977.3738420745 3393731.7927185036, 412477.3738420745 3393731.7927185036, 412477.3738420745 3393231.7927185036, 412977.3738420745 3393231.7927185036))"
1554,55,29,412727.3738420745,3393981.7927185036,"POLYGON ((412977.3738420745 3393731.7927185036, 412977.3738420745 3394231.7927185036, 412477.3738420745 3394231.7927185036, 412477.3738420745 3393731.7927185036, 412977.3738420745 3393731.7927185036))"
1555,56,29,412727.3738420745,3394481.7927185036,"POLYGON ((412977.3738420745 3394231.7927185036, 412977.3738420745 3394731.7927185036, 412477.3738420745 3394731.7927185036, 412477.3738420745 3394231.7927185036, 412977.3738420745 3394231.7927185036))"
1556,57,29,412727.3738420745,3394981.7927185036,"POLYGON ((412977.3738420745 3394731.7927185036, 412977.3738420745 3395231.7927185036, 412477.3738420745 3395231.7927185036, 412477.3738420745 3394731.7927185036, 412977.3738420745 3394731.7927185036))"
1557,58,29,412727.3738420745,3395481.7927185036,"POLYGON ((412977.3738420745 3395231.7927185036, 412977.3738420745 3395731.7927185036, 412477.3738420745 3395731.7927185036, 412477.3738420745 3395231.7927185036, 412977.3738420745 3395231.7927185036))"
1558,59,29,412727.3738420745,3395981.7927185036,"POLYGON ((412977.3738420745 3395731.7927185036, 412977.3738420745 3396231.7927185036, 412477.3738420745 3396231.7927185036, 412477.3738420745 3395731.7927185036, 412977.3738420745 3395731.7927185036))"
1559,60,29,412727.3738420745,3396481.7927185036,"POLYGON ((412977.3738420745 3396231.7927185036, 412977.3738420745 3396731.7927185036, 412477.3738420745 3396731.7927185036, 412477.3738420745 3396231.7927185036, 412977.3738420745 3396231.7927185036))"
1560,61,29,412727.3738420745,3396981.7927185036,"POLYGON ((412977.3738420745 3396731.7927185036, 412977.3738420745 3397231.7927185036, 412477.3738420745 3397231.7927185036, 412477.3738420745 3396731.7927185036, 412977.3738420745 3396731.7927185036))"
1561,62,29,412727.3738420745,3397481.7927185036,"POLYGON ((412977.3738420745 3397231.7927185036, 412977.3738420745 3397731.7927185036, 412477.3738420745 3397731.7927185036, 412477.3738420745 3397231.7927185036, 412977.3738420745 3397231.7927185036))"
1562,63,29,412727.3738420745,3397981.7927185036,"POLYGON ((412977.3738420745 3397731.7927185036, 412977.3738420745 3398231.7927185036, 412477.3738420745 3398231.7927185036, 412477.3738420745 3397731.7927185036, 412977.3738420745 3397731.7927185036))"
1563,64,29,412727.3738420745,3398481.7927185036,"POLYGON ((412977.3738420745 3398231.7927185036, 412977.3738420745 3398731.7927185036, 412477.3738420745 3398731.7927185036, 412477.3738420745 3398231.7927185036, 412977.3738420745 3398231.7927185036))"
1564,65,29,412727.3738420745,3398981.7927185036,"POLYGON ((412977.3738420745 3398731.7927185036, 412977.3738420745 3399231.7927185036, 412477.3738420745 3399231.7927185036, 412477.3738420745 3398731.7927185036, 412977.3738420745 3398731.7927185036))"
1565,66,29,412727.3738420745,3399481.7927185036,"POLYGON ((412977.3738420745 3399231.7927185036, 412977.3738420745 3399731.7927185036, 412477.3738420745 3399731.7927185036, 412477.3738420745 3399231.7927185036, 412977.3738420745 3399231.7927185036))"
1566,67,29,412727.3738420745,3399981.7927185036,"POLYGON ((412977.3738420745 3399731.7927185036, 412977.3738420745 3400231.7927185036, 412477.3738420745 3400231.7927185036, 412477.3738420745 3399731.7927185036, 412977.3738420745 3399731.7927185036))"
1567,68,29,412727.3738420745,3400481.7927185036,"POLYGON ((412977.3738420745 3400231.7927185036, 412977.3738420745 3400731.7927185036, 412477.3738420745 3400731.7927185036, 412477.3738420745 3400231.7927185036, 412977.3738420745 3400231.7927185036))"
1568,69,29,412727.3738420745,3400981.7927185036,"POLYGON ((412977.3738420745 3400731.7927185036, 412977.3738420745 3401231.7927185036, 412477.3738420745 3401231.7927185036, 412477.3738420745 3400731.7927185036, 412977.3738420745 3400731.7927185036))"
1569,70,29,412727.3738420745,3401481.7927185036,"POLYGON ((412977.3738420745 3401231.7927185036, 412977.3738420745 3401731.7927185036, 412477.3738420745 3401731.7927185036, 412477.3738420745 3401231.7927185036, 412977.3738420745 3401231.7927185036))"
1570,71,29,412727.3738420745,3401981.7927185036,"POLYGON ((412977.3738420745 3401731.7927185036, 412977.3738420745 3402231.7927185036, 412477.3738420745 3402231.7927185036, 412477.3738420745 3401731.7927185036, 412977.3738420745 3401731.7927185036))"
