cell_id,centroid_x,centroid_y,population_source,population,income,poi_count,poi_density,income_source,cluster,monthly_income_cny,vot_cny_per_h,p_evtol,trip_rate,demand
667,406727.3738420745,3384481.7927185036,zonal_sum,2978.48166847229,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,16.804593573520663
668,406727.3738420745,3384981.7927185036,zonal_sum,2159.6732864379883,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,12.18487668208313
669,406727.3738420745,3385481.7927185036,zonal_sum,1961.8579177856445,1.33500106673234,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,11.72013920085144
670,406727.3738420745,3385981.7927185036,zonal_sum,3143.646379470825,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,17.736452872974397
671,406727.3738420745,3386481.7927185036,zonal_sum,3738.669725418091,2.468099531471619,3,12.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,23.490061884801865
672,406727.3738420745,3386981.7927185036,zonal_sum,1533.918462753296,3.295836866004329,3,12.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,9.637609701478958
673,406727.3738420745,3387481.7927185036,zonal_sum,1051.4595835208893,2.0541237336955462,2,8.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,6.2814195519537925
674,406727.3738420745,3387981.7927185036,zonal_sum,3045.2454147338867,2.0541237336955462,2,8.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,18.19229610762024
675,406727.3738420745,3388481.7927185036,zonal_sum,4967.804882049561,2.0014800002101243,2,8.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,29.677666365364075
676,406727.3738420745,3388981.7927185036,zonal_sum,4700.8127365112305,1.9459101490553132,2,8.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,28.08265528791809
677,406727.3738420745,3389481.7927185036,zonal_sum,6706.731727600098,3.520460802488973,9,36.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,44.519285207809446
678,406727.3738420745,3389981.7927185036,zonal_sum,5726.005264282227,3.632309102625542,10,40.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,38.00922294430542
679,406727.3738420745,3390481.7927185036,zonal_sum,6608.999008178711,3.5667118201397288,11,44.0,poi_economic_index,4,5605.0,16.11,0.07112,0.007112,47.00320094616699
680,406727.3738420745,3390981.7927185036,zonal_sum,6246.66471862793,2.681021528714291,4,16.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,39.24779442713928
681,406727.3738420745,3391481.7927185036,zonal_sum,7469.947509765625,1.33500106673234,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,44.625466423339844
682,406727.3738420745,3391981.7927185036,zonal_sum,2911.511724472046,2.3608540011180215,3,12.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,18.293028164857866
683,406727.3738420745,3392481.7927185036,zonal_sum,1293.8771561533213,3.0252910757955354,7,28.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,8.588756562545747
684,406727.3738420745,3392981.7927185036,zonal_sum,5790.353734970093,4.29592393562047,20,80.0,poi_economic_index,6,7236.0,20.79,0.07876,0.007876,45.60482601662444
685,406727.3738420745,3393481.7927185036,zonal_sum,7960.886947631836,3.5667118201397288,8,32.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,52.84436755838013
686,406727.3738420745,3393981.7927185036,zonal_sum,9324.92586517334,3.4468078929142076,7,28.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,61.898857893020626
687,406727.3738420745,3394481.7927185036,zonal_sum,7651.031379699707,4.23410650459726,15,60.0,poi_economic_index,4,5605.0,16.11,0.07112,0.007112,54.41413517242432
688,406727.3738420745,3394981.7927185036,zonal_sum,7576.957946777344,3.0633909220278057,7,28.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,50.29584685070801
689,406727.3738420745,3395481.7927185036,zonal_sum,9375.762329101562,3.7796338173824005,7,28.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,62.23631034057617
690,406727.3738420745,3395981.7927185036,zonal_sum,4907.731864929199,2.2823823856765264,3,12.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,30.83527930735016
691,406727.3738420745,3396481.7927185036,zonal_sum,5350.976943969727,2.3978952727983707,4,16.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,33.620188138961794
692,406727.3738420745,3396981.7927185036,zonal_sum,3702.1494674682617,3.367295829986474,9,36.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,24.57486816505432
693,406727.3738420745,3397481.7927185036,zonal_sum,5192.019973754883,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,29.29337669192505
